Código do ano letivo;Código da escola;UOEI;Código do curso;Curso;Edição;Ano Curricular da UC;Código da UC;Unidade Curricular;Código da Opção;Designação da Opção;Nº Mecanográfico;Nome;Email;Género;Regimes especiais de frequência
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200000;João Mendes;a200000@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200001;Ana Soares;a200001@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200002;Pedro Silva;a200002@alunos.uminho.pt;M;TE
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200003;Carla Costa;a200003@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200004;Tiago Martins;a200004@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200005;Mariana Lopes;a200005@alunos.uminho.pt;F;AUM
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200006;Rui Fernandes;a200006@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200007;Beatriz Figueiredo;a200007@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200008;Carlos Alves;a200008@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200009;Sara Marques;a200009@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200010;Paulo Ribeiro;a200010@alunos.uminho.pt;M;DLG
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200011;Clara Oliveira;a200011@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200012;Luis Gomes;a200012@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200013;Joana Santos;a200013@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200014;Bruno Ferreira;a200014@alunos.uminho.pt;M;AUM
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200015;Inês Araújo;a200015@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200016;Victor Lima;a200016@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200017;Raquel Nunes;a200017@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200018;John Smith;a200018@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200019;Emily Johnson;a200019@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200020;James Miller;a200020@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200021;Daniel Costa;a200021@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200022;Michael Brown;a200022@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200023;Hugo Fernandes;a200023@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200024;Alexandre Gomes;a200024@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200025;Richard Taylor;a200025@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200026;Sara Cardoso;a200026@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200027;João Ferreira;a200027@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200028;Patrick Wilson;a200028@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200029;Filipe Oliveira;a200029@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200030;Carlos Mendes;a200030@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200031;Tiago Sousa;a200031@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200032;Luis Almeida;a200032@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200033;Chris Evans;a200033@alunos.uminho.pt;M;EINT
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200034;Bruno Nogueira;a200034@alunos.uminho.pt;M;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;2;J304N3;Programação Orientada a Objetos;;;200035;Maria Antunes;a200035@alunos.uminho.pt;F;
2025;240;Escola de Engenharia;J3;Licenciatura em Engenharia Informática;;3;J305N2;Desenvolvimento de Sistemas de Software;;;200036;João Pinto;a200036@alunos.uminho.pt;M;
